Power of Two	Thread Size	Time(msec)
4		17		0.017482
5		17		0.014635
6		17		0.013355
7		17		0.013053
8		17		0.013087
9		17		0.012709
10		17		0.012238
11		17		0.012688
12		17		0.012304
13		17		0.012550
14		17		0.012328
15		17		0.012213
16		17		0.012364
17		17		0.012199
18		17		0.006982
19		17		0.004687
20		17		0.004527
Power of Two	Thread Size	Time(msec)
1		18		0.099065
2		18		0.047917
3		18		0.027539
4		18		0.018023
5		18		0.014624
6		18		0.012966
7		18		0.013166
8		18		0.012359
9		18		0.013329
10		18		0.013201
11		18		0.013180
12		18		0.012318
13		18		0.012855
14		18		0.012343
15		18		0.012593
16		18		0.012443
17		18		0.012420
18		18		0.007068
19		18		0.004646
20		18		0.004624
Power of Two	Thread Size	Time(msec)
1		19		0.098255
2		19		0.047800
3		19		0.027448
4		19		0.017854
5		19		0.014586
6		19		0.013167
7		19		0.012774
8		19		0.013296
9		19		0.013185
10		19		0.012776
11		19		0.012545
12		19		0.012535
13		19		0.012080
14		19		0.011701
15		19		0.012342
16		19		0.012725
17		19		0.012521
18		19		0.007101
19		19		0.004754
20		19		0.004637
Power of Two	Thread Size	Time(msec)
1		20		0.098845
2		20		0.049912
3		20		0.027941
4		20		0.017776
5		20		0.014952
6		20		0.013170
7		20		0.012794
8		20		0.012476
9		20		0.012988
10		20		0.012908
11		20		0.013319
12		20		0.012294
13		20		0.013047
14		20		0.012552
15		20		0.012769
16		20		0.012515
17		20		0.012501
18		20		0.007128
19		20		0.004774
20		20		0.004719
